What 1927 musical was the first talkie;The Jazz Singer
What is the capital of Chile;Santiago
What is the highest mountain in Britain;Ben Nevis
What is the smallest country in the world;Vatican City
Alberta is a province of which country;Canada
Which is the only vowel not used as the first letter in a US State;E
What is the largest country in the world;Russia
What capital does the River Thames run through;London
What is the hottest continent on Earth;Africa
What is the longest river in the world;Nile
